AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_014808	144.0	33	68.0	177.0	131.0	32.0	3.0
NM_001004742	0	0	0	0	0	0	0
NM_001039619	688.0	150	1.0	838.0	771.0	63.0	3.0
NM_016540	0	0	0	0	0	0	0
NM_006219	658.0	79	14.0	737.0	710.0	0	16.0
NM_001079519	143.0	9	36.0	152.0	101.0	1.0	4.0
NM_001190274	952.0	160	21.0	1112.0	998.0	34.0	7.0
NM_001267716	1.0	0	0	1.0	1.0	0	0
NM_004900	0	45	0	45	45	0	0
NM_001330393	441.0	1	4.0	442.0	384.0	49.0	2.0
NM_020122	438.0	51	20.0	489.0	345.0	76.0	11.0
NM_001201552	49.0	7	1.0	56.0	19.0	34.0	0
NM_012265	73.0	5	6.0	78.0	46.0	30.0	0
NM_001286706	181.0	74	3.0	255.0	64.0	96.0	53.0
NM_001256015	82.0	14	2.0	96.0	34.0	50.0	0
NM_138440	11.0	0	0	11.0	10.0	1.0	0
NM_173496	243.0	47	3.0	290.0	258.0	21.0	2.0
NM_001300813	763.0	78	9.0	841.0	793.0	0	16.0
NM_005260	0	0	0	0	0	0	0
NM_001024680	7.0	0	0	7.0	0	7.0	0
NM_001004466	0	0	0	0	0	0	0
NM_016228	7.0	0	0	7.0	5.0	1.0	0
NM_001300981	624.0	1	1.0	625.0	266.0	355.0	4.0
NM_000234	1018.0	263	3.0	1281.0	1054.0	159.0	22.0
NM_014375	0	0	0	0	0	0	0
NM_002568	2773.0	87	0	2860.0	1423.0	1249.0	13.0
NM_018675	122.0	17	0	139.0	5.0	39.0	82.0
NM_001256530	938.0	66	2.0	1004.0	721.0	48.0	19.0
NM_001308341	0	0	0	0	0	0	0
NM_006982	0	0	0	0	0	0	0
NM_000823	0	0	0	0	0	0	0
NM_001171818	88.0	5	8.0	93.0	33.0	55.0	1.0
NM_001290223	216.0	57	5.0	273.0	251.0	15.0	4.0
NM_004491	453.0	24	7.0	477.0	470.0	0	6.0
NM_001014831	187.0	25	5.0	212.0	159.0	47.0	1.0
NM_020804	3.0	0	0	3.0	3.0	0	0
NM_016609	831.0	186	0	1017.0	773.0	239.0	1.0
NM_201400	21.0	8	0	29.0	29.0	0	0
NM_001350804	23.0	0	1.0	23.0	19.0	2.0	1.0
NM_002082	737.0	38	1.0	775.0	431.0	81.0	4.0
NM_020650	75.0	14	1.0	89.0	71.0	7.0	0
NM_001005197	0	0	0	0	0	0	0
NM_001286522	160.0	15	18.0	175.0	67.0	98.0	3.0
NM_080622	0	0	0	0	0	0	0
NM_001190476	2.0	0	0	2.0	0	2.0	0
NM_018676	0	0	1.0	0	0	0	0
NM_005620	3585.0	11	0	3596.0	2652.0	45.0	8.0
NM_033059	0	0	0	0	0	0	0
NM_015140	795.0	141	0	936.0	846.0	26.0	17.0
NM_001081552	0	0	0	0	0	0	0
NM_177532	0	0	0	0	0	0	0
NM_001039614	0	0	0	0	0	0	0
NM_001099850	0	0	0	0	0	0	0
NM_001199972	0	0	0	0	0	0	0
NM_001300761	3.0	1	0	4.0	2.0	2.0	0
NM_001318485	492.0	20	3.0	512.0	254.0	100.0	78.0
NM_199289	1.0	1	0	2.0	2.0	0	0
NM_001009615	0	0	0	0	0	0	0
NM_021118	0	0	0	0	0	0	0
NM_013280	0	0	0	0	0	0	0
NM_152468	673.0	94	12.0	767.0	453.0	293.0	11.0
NM_001034172	0	0	0	0	0	0	0
NM_139062	808.0	142	2.0	950.0	771.0	61.0	30.0
NM_014625	0	0	0	0	0	0	0
NM_152240	245.0	16	6.0	261.0	164.0	80.0	12.0
NM_016371	102.0	12	0	114.0	96.0	0	0
