AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_006357	161.0	6	1477.0	167.0	78.0	27.0	62.0
NM_022760	302.0	20	112.0	322.0	196.0	97.0	21.0
NM_182521	0	0	0	0	0	0	0
NM_022569	0	0	1.0	0	0	0	0
NM_000692	279.0	3	3.0	282.0	176.0	19.0	85.0
NM_181877	187.0	2	31.0	189.0	110.0	15.0	60.0
NM_031273	0	0	0	0	0	0	0
NM_001024401	7.0	0	3.0	7.0	6.0	1.0	0
NM_001008723	16.0	0	26.0	16.0	13.0	0	3.0
NM_152355	224.0	2	53.0	226.0	107.0	24.0	93.0
NM_017919	557.0	18	515.0	575.0	120.0	27.0	422.0
NM_000042	0	0	0	0	0	0	0
NM_004711	148.0	9	158.0	157.0	86.0	11.0	48.0
NM_001129765	194.0	20	96.0	214.0	166.0	13.0	27.0
NM_004944	0	0	1.0	0	0	0	0
NM_005813	991.0	84	349.0	1075.0	606.0	67.0	395.0
NM_015884	141.0	3	103.0	144.0	32.0	1.0	111.0
NM_005802	923.0	17	94.0	940.0	789.0	45.0	92.0
NM_001262	393.0	9	25.0	402.0	115.0	225.0	46.0
NM_214462	3.0	0	1.0	3.0	3.0	0	0
NM_001145460	64.0	0	20.0	64.0	15.0	1.0	48.0
NM_001270930	57.0	0	6.0	57.0	40.0	9.0	4.0
NM_001256424	1.0	0	25.0	1.0	0	1.0	0
NM_014832	1065.0	55	1094.0	1120.0	692.0	85.0	337.0
NM_018464	97.0	3	78.0	100.0	25.0	13.0	52.0
NM_002180	203.0	2	90.0	205.0	153.0	12.0	33.0
NM_001105540	283.0	8	340.0	291.0	205.0	11.0	74.0
NM_001461	70.0	4	426.0	74.0	48.0	9.0	15.0
NM_020182	28.0	0	36.0	28.0	7.0	9.0	12.0
NM_016553	0	1	0	1	0	1	0
NM_004655	2.0	0	2.0	2.0	1.0	0	1.0
NM_022121	4.0	0	1.0	4.0	2.0	0	2.0
NM_001001671	17.0	1	12.0	18.0	15.0	0	3.0
NM_001330614	504.0	75	786.0	579.0	512.0	14.0	48.0
NM_003008	0	0	0	0	0	0	0
NM_000143	686.0	55	219.0	741.0	683.0	11.0	29.0
NM_176791	0	0	0	0	0	0	0
NM_001102657	72.0	1	15.0	73.0	54.0	11.0	7.0
NM_018708	589.0	0	0	589.0	322.0	20.0	232.0
NM_001242671	0	0	1.0	0	0	0	0
NM_015143	322.0	20	650.0	342.0	167.0	10.0	143.0
NM_001099744	3.0	0	5.0	3.0	3.0	0	0
NM_024037	156.0	3	36.0	159.0	91.0	12.0	50.0
NM_001317963	528.0	65	137.0	593.0	237.0	254.0	92.0
NM_001159677	1939.0	21	802.0	1960.0	478.0	129.0	1336.0
NM_016286	407.0	111	24.0	518.0	442.0	26.0	11.0
NM_024086	298.0	12	114.0	310.0	102.0	16.0	186.0
NM_145208	0	0	0	0	0	0	0
NM_001697	605.0	93	117.0	698.0	548.0	73.0	28.0
NM_001199215	21.0	1	35.0	22.0	17.0	0	3.0
NM_001102469	7.0	0	6.0	7.0	7.0	0	0
NM_024561	335.0	24	527.0	359.0	222.0	34.0	98.0
NM_199203	0	0	53.0	0	0	0	0
NM_001349178	49.0	7	153.0	56.0	38.0	5.0	12.0
NM_024787	45.0	3	29.0	48.0	13.0	8.0	27.0
NM_213589	34.0	1	20.0	35.0	11.0	2.0	21.0
NM_001136537	31.0	0	27.0	31.0	16.0	3.0	11.0
NM_153033	134.0	5	17.0	139.0	32.0	2.0	100.0
NM_005588	0	0	2.0	0	0	0	0
NM_001005280	0	0	0	0	0	0	0
NM_139285	3.0	0	3.0	3.0	3.0	0	0
NM_001145526	95.0	12	105.0	107.0	56.0	4.0	43.0
NM_001010858	1061.0	25	85.0	1086.0	456.0	50.0	550.0
NM_022111	579.0	62	101.0	641.0	450.0	17.0	167.0
NM_001899	0	0	0	0	0	0	0
NM_005213	118.0	7	17.0	125.0	74.0	23.0	18.0
NM_001321267	948.0	79	801.0	1027.0	356.0	121.0	532.0
NM_001133	0	0	1.0	0	0	0	0
NM_005733	618.0	84	29.0	702.0	623.0	30.0	39.0
NM_032836	53.0	0	25.0	53.0	38.0	1.0	14.0
NM_001199018	14.0	1	25.0	15.0	6.0	7.0	2.0
NM_001329614	133.0	4	9.0	137.0	21.0	35.0	71.0
NM_145062	416.0	37	229.0	453.0	336.0	64.0	35.0
NM_005251	0	0	0	0	0	0	0
NM_012394	99.0	17	74.0	116.0	96.0	5.0	8.0
NM_001318002	145.0	1	10.0	146.0	13.0	25.0	108.0
NM_015412	528.0	20	201.0	548.0	308.0	12.0	219.0
NM_015900	0	0	1.0	0	0	0	0
NM_207310	0	0	0	0	0	0	0
NM_052928	201.0	11	75.0	212.0	154.0	11.0	44.0
NM_004057	0	0	0	0	0	0	0
NM_053017	0	0	0	0	0	0	0
NM_001322230	469.0	37	1282.0	506.0	145.0	160.0	195.0
NM_001009562	0	0	0	0	0	0	0
NM_032027	245.0	24	559.0	269.0	174.0	14.0	58.0
NM_001172439	0	0	1.0	0	0	0	0
NM_003082	185.0	16	139.0	201.0	99.0	26.0	65.0
NM_003256	0	0	0	0	0	0	0
NM_152730	216.0	32	932.0	248.0	211.0	2.0	30.0
NM_031216	639.0	69	223.0	708.0	362.0	73.0	256.0
NM_001350520	297.0	26	154.0	323.0	280.0	31.0	8.0
NM_001129727	118.0	15	18.0	133.0	111.0	7.0	15.0
NM_001164416	0	0	0	0	0	0	0
NM_001277764	245.0	45	42.0	290.0	183.0	27.0	63.0
NM_001872	0	0	0	0	0	0	0
NM_016279	6.0	1	81.0	7.0	7.0	0	0
NM_001284341	119.0	15	19.0	134.0	77.0	26.0	27.0
NM_001794	4.0	0	27.0	4.0	1.0	1.0	2.0
NM_173561	23.0	1	16.0	24.0	7.0	1	16.0
NM_020311	26.0	0	10.0	26.0	16.0	0	10.0
NM_001300942	330.0	12	763.0	342.0	194.0	25.0	119.0
NM_001318932	1.0	0	0	1.0	1.0	0	0
NM_001143967	0	0	4.0	0	0	0	0
NM_001136234	0	0	0	0	0	0	0
NM_152377	0	0	0	0	0	0	0
NM_001404	1501.0	4	106.0	1505.0	1471.0	27.0	7.0
NM_001320848	25.0	6	11.0	31.0	13.0	7.0	6.0
NM_003592	787.0	80	857.0	867.0	618.0	74.0	157.0
NM_000688	894.0	112	256.0	1006.0	889.0	79.0	29.0
NM_014314	250.0	19	140.0	269.0	183.0	8.0	76.0
NM_007232	0	0	0	0	0	0	0
NM_030774	0	0	0	0	0	0	0
NM_152478	55.0	4	41.0	59.0	45.0	9.0	4.0
NM_001286732	0	0	3.0	0	0	0	0
NM_001348281	39.0	0	37.0	39.0	31.0	0	8.0
NM_017620	2289.0	274	659.0	2563.0	1664.0	148.0	724.0
NM_031218	86.0	0	114.0	86.0	53.0	8.0	25.0
NM_003897	622.0	14	14.0	636.0	187.0	32.0	403.0
NM_006221	588.0	11	155.0	599.0	324.0	12.0	233.0
NM_001286526	317.0	61	136.0	378.0	257.0	83.0	14.0
NM_002463	31.0	1	9.0	32.0	23.0	2.0	7.0
NM_001310134	0	0	0	0	0	0	0
NM_173464	49.0	10	460.0	59.0	34.0	8.0	13.0
NM_018927	4.0	0	0	4.0	4.0	0	0
NM_001349553	850.0	71	1712.0	921.0	399.0	173.0	337.0
NM_198833	180.0	8	42.0	188.0	91.0	2.0	93.0
NM_170707	2281.0	263	152.0	2544.0	2098.0	229.0	177.0
NM_016246	46.0	8	4.0	54.0	40.0	9.0	3.0
NM_001354703	3.0	1	56.0	4.0	3.0	1.0	0
NM_024328	96.0	1	12.0	97.0	32.0	25.0	38.0
NM_001126121	243.0	12	91.0	255.0	155.0	24.0	68.0
NM_001330219	4.0	1	1.0	5.0	4.0	0	1.0
NM_000252	285.0	37	582.0	322.0	196.0	15.0	108.0
NM_001286657	193.0	12	103.0	205.0	108.0	14.0	79.0
NM_000484	1853.0	227	956.0	2080.0	1445.0	164.0	424.0
NM_198853	2.0	0	0	2.0	2.0	0	0
NM_024674	0	0	0	0	0	0	0
NM_001302826	0	0	0	0	0	0	0
NM_001871	2.0	2	3.0	4.0	4.0	0	0
NM_181429	0	0	0	0	0	0	0
NM_001785	1.0	0	14.0	1.0	1.0	0	0
NM_002370	118.0	15	73.0	133.0	69.0	31.0	9.0
NM_001349689	0	0	0	0	0	0	0
NM_175874	33.0	1	39.0	34.0	25.0	5.0	1.0
NM_002234	0	0	0	0	0	0	0
NM_001139514	0	0	4.0	0	0	0	0
NM_003684	544.0	41	638.0	585.0	284.0	70.0	214.0
NM_001037494	473.0	2	308.0	475.0	264.0	17.0	173.0
NM_001012509	0	0	1.0	0	0	0	0
NM_001271592	467.0	0	0	467.0	53.0	77.0	323.0
NM_001198829	0	0	1.0	0	0	0	0
NM_024587	29.0	0	21.0	29.0	16.0	5.0	3.0
NM_145858	93.0	19	245.0	112.0	74.0	3.0	31.0
NM_001142933	0	0	0	0	0	0	0
NM_152704	0	0	0	0	0	0	0
NM_020532	2117.0	151	1699.0	2268.0	952.0	97.0	1190.0
NM_001256165	880.0	46	195.0	926.0	274.0	156.0	481.0
NM_001207052	1.0	0	0	1.0	1.0	0	0
NM_001145001	693.0	65	1050.0	758.0	389.0	41.0	327.0
NM_001416	2117.0	25	27756.0	2142.0	1759.0	77.0	301.0
NM_006111	314.0	28	133.0	342.0	197.0	53.0	74.0
