AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_006670	1.0	0	0	1.0	1.0	0	0
NM_024877	2.0	0	0	2.0	2.0	0	0
NM_001005218	0	0	0	0	0	0	0
NM_178495	47.0	0	0	47.0	47.0	0	0
NM_024613	798.0	30	1.0	828.0	250.0	411.0	5.0
NM_001278359	416.0	8	104.0	424.0	65.0	354.0	2.0
NM_001127222	1.0	0	1.0	1.0	0	1.0	0
NM_001242332	0	0	0	0	0	0	0
NM_205839	87.0	5	20.0	92.0	11.0	71.0	0
NM_152515	1119.0	113	0	1232.0	804.0	18.0	6.0
NM_001142307	1191.0	13	8.0	1204.0	244.0	896.0	11.0
NM_017525	21.0	4	1.0	25.0	25.0	0	0
NM_001012758	30.0	2	2.0	32.0	17.0	0	0
NM_018593	127.0	4	6.0	131.0	95.0	16.0	1.0
NM_001284269	56.0	8	4.0	64.0	49.0	6.0	3.0
NM_001334	21.0	3	1.0	24.0	14.0	0	0
NM_178553	0	0	0	0	0	0	0
NM_018342	231.0	42	9.0	273.0	65.0	184.0	1.0
NM_001323413	2579.0	340	2.0	2919.0	2182.0	613.0	33.0
NM_001127392	19.0	1	2.0	20.0	15.0	4.0	0
NM_001011663	211.0	2	2.0	213.0	114.0	7.0	0
NM_183240	2.0	0	0	2.0	1.0	0	0
NM_145166	3.0	0	9.0	3.0	2.0	0	1.0
NM_019086	6.0	0	0	6.0	1.0	4.0	0
NM_005946	0	0	0	0	0	0	0
NM_001003892	0	0	0	0	0	0	0
NM_001323890	432.0	24	1.0	456.0	216.0	184.0	2.0
NM_001326	1120.0	324	10.0	1444.0	591.0	358.0	33.0
NM_033123	0	0	0	0	0	0	0
NM_005448	0	0	0	0	0	0	0
NM_001146108	108.0	18	4.0	126.0	43.0	30.0	0
NM_144970	331.0	9	4.0	340.0	118.0	2.0	5.0
NM_001001961	0	0	0	0	0	0	0
NM_014337	1022.0	177	2.0	1199.0	551.0	366.0	21.0
NM_002181	0	0	0	0	0	0	0
NM_001127223	1891.0	188	1.0	2079.0	1016.0	45.0	32.0
NM_022059	22.0	0	0	22.0	5.0	14.0	0
NM_001098426	2035.0	312	3.0	2347.0	1472.0	718.0	8.0
NM_001005493	0	0	0	0	0	0	0
NM_001167902	0	0	0	0	0	0	0
NM_001005163	0	0	0	0	0	0	0
NM_012452	0	0	0	0	0	0	0
NM_018008	11.0	0	0	11.0	11.0	0	0
