AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013354	0	0	0	0	0	0	0
NM_001324214	0	0	1.0	0	0	0	0
NM_152495	2.0	0	11.0	2.0	0	0	2.0
NM_018911	0	0	0	0	0	0	0
NM_002254	161.0	4	42.0	165.0	81.0	23.0	58.0
NM_001004759	0	0	0	0	0	0	0
NM_001291866	681.0	55	1235.0	736.0	317.0	0	414.0
NM_001891	0	0	0	0	0	0	0
NM_001319061	0	0	2.0	0	0	0	0
NM_001097	0	0	2.0	0	0	0	0
NM_173358	0	0	0	0	0	0	0
NM_016131	1526.0	61	1035.0	1587.0	344.0	370.0	842.0
NM_001321553	0	1	20.0	1	1	0	0
NM_000151	0	0	0	0	0	0	0
NM_178134	0	0	1.0	0	0	0	0
NM_001350145	44.0	6	147.0	50.0	41.0	0	9.0
NM_000235	1304.0	93	154.0	1397.0	646.0	85.0	639.0
NM_001351349	0	0	0	0	0	0	0
NM_001099791	46.0	3	188.0	49.0	16.0	21.0	7.0
NM_004737	16.0	2	81.0	18.0	11.0	5.0	2.0
NM_001346413	1079.0	54	696.0	1133.0	912.0	82.0	128.0
NM_022006	0	0	1.0	0	0	0	0
NM_025150	192.0	25	44.0	217.0	186.0	6.0	15.0
NM_001195555	1931.0	139	1840.0	2070.0	1271.0	88.0	681.0
NM_001615	2.0	0	1.0	2.0	2.0	0	0
NM_033105	3.0	0	5.0	3.0	2.0	0	1.0
NM_001349853	142.0	16	74.0	158.0	67.0	6.0	85.0
NM_018990	521.0	26	118.0	547.0	242.0	66.0	231.0
NM_001039396	51.0	0	0	51.0	27.0	3.0	21.0
NM_199321	0	0	0	0	0	0	0
NM_001198903	224.0	20	431.0	244.0	211.0	4.0	29.0
NM_130772	27.0	6	346.0	33.0	7.0	18.0	6.0
NM_001346591	5430.0	159	766.0	5589.0	2042.0	265.0	3124.0
NM_033018	249.0	40	80.0	289.0	206.0	1.0	75.0
NM_032571	106.0	20	120.0	126.0	105.0	7.0	14.0
NM_016095	138.0	8	12.0	146.0	55.0	30.0	59.0
NM_144709	100.0	13	199.0	113.0	57.0	2.0	51.0
NM_001291030	3.0	1	10.0	4.0	1	1.0	2.0
NM_001195605	50.0	0	0	50.0	44.0	0	5.0
NM_001171508	572.0	18	111.0	590.0	111.0	12.0	454.0
NM_198696	0	0	0	0	0	0	0
NM_133492	0	0	0	0	0	0	0
NM_001001656	0	0	0	0	0	0	0
NM_203347	1.0	0	0	1.0	1.0	0	0
NM_005481	315.0	32	41.0	347.0	304.0	18.0	16.0
NM_024658	191.0	38	9.0	229.0	212.0	8.0	8.0
NM_001287427	2333.0	48	171.0	2381.0	801.0	412.0	1168.0
NM_001353127	8.0	0	220.0	8.0	6.0	0	1.0
NM_013451	22.0	8	37.0	30.0	28.0	0	2.0
NM_152397	0	0	0	0	0	0	0
NM_001330669	570.0	63	156.0	633.0	511.0	43.0	68.0
NM_001160258	0	0	1.0	0	0	0	0
NM_001164419	0	0	0	0	0	0	0
NM_015916	95.0	2	23.0	97.0	44.0	27.0	24.0
NM_031474	0	0	0	0	0	0	0
NM_024322	298.0	12	129.0	310.0	98.0	22.0	189.0
NM_033426	214.0	4	28.0	218.0	67.0	16.0	131.0
NM_052906	2.0	0	3.0	2.0	0	0	2.0
NM_001142651	374.0	5	80.0	379.0	93.0	5.0	280.0
NM_001001958	0	0	0	0	0	0	0
NM_004065	0	0	0	0	0	0	0
NM_001184874	0	0	0	0	0	0	0
NM_019851	0	0	1.0	0	0	0	0
NM_145805	0	0	1.0	0	0	0	0
NM_024046	1.0	0	5.0	1.0	1.0	0	0
NM_001199877	1835.0	212	62.0	2047.0	363.0	602.0	842.0
NM_001144026	249.0	14	61.0	263.0	104.0	11.0	146.0
NM_058165	0	0	1.0	0	0	0	0
NM_153335	142.0	11	325.0	153.0	74.0	11.0	64.0
NM_001171876	1.0	0	5.0	1.0	1.0	0	0
NM_001164436	0	0	0	0	0	0	0
NM_001039152	0	0	0	0	0	0	0
NM_002921	0	0	0	0	0	0	0
NM_003869	228.0	19	25.0	247.0	140.0	57.0	47.0
NM_001302643	204.0	21	118.0	225.0	122.0	23.0	79.0
NM_133263	107.0	1	174.0	108.0	21.0	2.0	85.0
NM_001004456	0	0	0	0	0	0	0
NM_021128	230.0	14	11.0	244.0	95.0	17.0	99.0
NM_022044	181.0	6	3.0	187.0	150.0	3.0	17.0
NM_003258	549.0	50	65.0	599.0	304.0	42.0	231.0
NM_001277075	0	0	3.0	0	0	0	0
NM_012377	0	0	0	0	0	0	0
NM_001190839	1.0	0	0	1.0	1.0	0	0
NM_006324	161.0	16	523.0	177.0	116.0	31.0	20.0
NM_000761	0	0	0	0	0	0	0
NM_001323895	143.0	15	65.0	158.0	61.0	55.0	40.0
NM_018303	371.0	71	754.0	442.0	301.0	26.0	109.0
NM_001039651	23.0	1	3.0	24.0	11.0	1.0	11.0
NM_201435	8.0	0	15.0	8.0	6.0	1.0	1.0
NM_001302545	444.0	59	10.0	503.0	396.0	24.0	67.0
NM_006635	780.0	10	43.0	790.0	408.0	50.0	320.0
NM_001204502	16.0	2	7.0	18.0	10.0	2.0	5.0
NM_001320642	104.0	22	39.0	126.0	85.0	1.0	37.0
NM_001323075	0	0	0	0	0	0	0
NM_144629	0	0	3.0	0	0	0	0
NM_018429	866.0	51	491.0	917.0	653.0	32.0	223.0
NM_001242739	80.0	3	8.0	83.0	51.0	9.0	22.0
NM_080859	0	0	0	0	0	0	0
NM_001008237	102.0	7	256.0	109.0	60.0	8.0	36.0
NM_001001938	1.0	0	0	1.0	1.0	0	0
NM_001278216	369.0	9	57.0	378.0	123.0	227.0	28.0
NM_199360	552.0	20	103.0	572.0	178.0	24.0	360.0
NM_003000	411.0	75	153.0	486.0	384.0	30.0	47.0
NM_018357	4.0	0	1.0	4.0	1.0	3.0	0
NM_017621	108.0	1	18.0	109.0	69.0	1.0	36.0
NM_001009939	428.0	51	50.0	479.0	226.0	83.0	153.0
NM_002031	0	0	6.0	0	0	0	0
NM_001010898	0	0	0	0	0	0	0
NM_001251962	3.0	0	7.0	3.0	2.0	0	1.0
NM_001318339	434.0	36	616.0	470.0	382.0	7.0	70.0
NM_007274	116.0	20	75.0	136.0	92.0	9.0	33.0
NM_014234	49.0	8	5.0	57.0	47.0	4.0	4.0
NM_022367	249.0	16	37.0	265.0	201.0	8.0	54.0
NM_001278298	57.0	4	50.0	61.0	53.0	2.0	5.0
NM_001256615	0	0	0	0	0	0	0
NM_001350283	340.0	57	58.0	397.0	322.0	28.0	35.0
NM_003477	200.0	15	396.0	215.0	140.0	9.0	55.0
NM_001081	16.0	5	64.0	21.0	21.0	0	0
NM_001352186	0	0	13.0	0	0	0	0
NM_001277332	0	0	0	0	0	0	0
NM_207499	1.0	0	11.0	1.0	1.0	0	0
NM_006308	0	0	0	0	0	0	0
NM_001612	0	0	0	0	0	0	0
