UCSC_ID	RPM
uc008bzm.1	55.0
uc009cly.1	52.0
uc008tvu.1	64.4
uc007fkg.2	4.9
uc008rnn.1	224.1
uc009bia.1	5.0
uc009elo.1	29.9
uc008cuj.1	291.8
uc007ogu.2	28.8
uc012dmm.1	102.2
uc009tkd.1	15.0
uc009hha.1	45.3
uc008aup.2	12.4
uc008gon.1	18.3
uc008fpy.1	95.3
uc009gkv.1	70.6
uc008mij.1	143.9
uc007juv.1	58.2
uc007qfv.3	23.6
uc008zpn.2	23.6
uc009mdb.2	76.2
uc008xix.2	90.5
uc008esj.1	88.3
uc009uuw.1	13.0
uc007uvw.1	134.9
uc008qpk.1	52.0
uc007bvq.1	51.8
uc007tvq.2	33.1
uc009tad.1	44.1
uc007zqj.1	31.5
uc007swe.2	120.1
uc007fel.1	4.8
uc009abc.1	9.9
uc007qtr.2	21.8
uc008gxs.2	46.5
uc008viw.3	244.2
uc008axq.1	7.1
uc009agk.1	32.8
uc008ztf.2	70.8
uc007tym.2	10.9
uc009gbi.2	109.6
uc009qzk.1	3.5
uc007jyk.1	26.2
uc008ssk.1	47.4
uc007fzl.1	425.6
uc008quq.2	50.2
uc007psc.1	1074.2
uc007nnh.2	20.6
uc009aew.1	65.2
uc009mqr.1	4.0
uc008pyl.1	190.6
uc009ojc.1	188.2
uc009ksk.2	35.8
uc008jet.2	384.1
uc008nzv.1	112.6
uc007fra.1	25.1
uc007mtk.2	350.2
uc009akk.1	236.0
uc009fep.2	3549.4
uc008qhe.2	266.9
uc008lhh.1	34.3
uc008yib.1	43.7
uc008qyq.1	116.4
uc008mju.1	78.6
uc007qrs.1	113.3
uc008znk.1	25.8
uc008gki.1	108.2
uc007ajv.1	234.9
uc009smz.2	69.3
uc009jxu.2	33.3
uc008kej.2	60.5
uc007ldc.1	16.2
uc008gba.1	16.6
uc009cyu.1	42.7
uc007dnb.2	157.5
uc008jac.1	18.1
uc007itz.1	688.9
uc008bps.1	119.1
uc009izl.1	236.9
uc008hov.2	8.0
uc008gjc.1	76.4
uc007uks.2	91.6
uc033gby.1	249.3
uc009gez.1	51.7
uc007pdz.1	7.7
uc008riq.2	4.8
uc007hod.3	85.7
uc008sib.1	62.6
uc009mxd.1	28.3
uc007djd.1	37.8
uc008ltw.1	50.9
uc008bzu.2	515.1
uc007zbi.1	68.4
uc007xzx.1	62.7
uc008azj.1	275.1
uc009tyj.1	16.4
uc009fyt.2	44.8
uc009ovd.2	1.9
uc008lwh.1	40.8
uc007uaa.2	53.2
uc008oro.1	75.1
uc007oye.2	103.7
uc007lvy.1	19.2
uc009uie.2	87.6
uc012dmx.1	12.6
uc009mom.1	157.7
uc012afp.1	63.4
uc008htt.1	30.9
uc009gsk.2	15.5
uc008ayd.1	122.0
uc008clo.1	120.4
uc007ajy.1	40.8
uc007jpq.2	61.5
uc009miv.1	40.0
uc007nvs.2	4.1
uc007eme.1	11.7
uc008dcl.1	102.0
uc011ymh.1	32.8
uc008vdq.1	199.0
uc009akh.2	120.7
uc008aol.1	266.8
uc007wth.1	8.4
uc007lne.2	49.6
uc007oaz.2	306.5
uc009ndg.1	60.4
uc009dar.1	67.8
uc007deg.2	311.5
uc007nzs.2	17.7
uc007puf.1	412.6
uc008vmc.2	32.2
uc007xvh.1	150.6
uc007tzb.2	24.5
uc009exe.1	29.6
uc007hmi.1	155.8
uc007zti.1	332.1
uc012dui.1	43.0
uc007tlx.1	44.0
uc008gqd.1	33.6
uc007mjv.1	43.8
uc007ymy.1	581.5
uc009aco.1	26.7
uc008gpt.2	47.6
uc009amg.1	137.1
uc008tee.1	13.7
uc007fef.1	70.5
uc007czf.2	47.7
uc009ojd.1	238.9
uc008gju.2	29.5
uc008tzj.2	144.6
uc009rjr.2	79.5
uc007nfv.1	55.2
uc008xfa.2	338.1
uc009cah.1	15.1
uc009snz.2	260.9
uc009hxl.1	37.0
uc007asi.1	16.7
uc009nnb.2	162.2
uc007grw.1	98.2
uc008qul.2	60.8
uc009qeb.1	59.9
uc007prs.1	754.9
uc007nrs.2	309.4
uc009dnr.1	58.7
uc008erl.1	55.0
uc007upt.1	63.7
uc007qba.1	8.5
uc009uru.1	75.5
uc009mox.1	258.2
uc008ggq.1	125.2
uc009dnv.1	36.5
uc009qei.1	258.7
uc012hmd.1	22.6
uc009kgx.1	82.5
uc008qnl.2	264.0
uc008mtf.2	76.0
uc008mhg.2	92.7
uc008uvt.2	155.6
uc009esy.1	14.5
uc009toh.2	13.5
uc009nrw.1	127.9
uc007dqp.1	126.4
uc008zdp.2	1145.7
uc008hml.1	148.6
uc008zcy.1	23.8
uc007jgr.2	72.7
uc008tsy.2	17.3
uc007foz.1	92.8
uc008dcx.2	35.4
uc008mus.2	38.8
uc009kny.1	35.1
uc009pez.1	7.4
uc012fgr.1	2150.0
uc012dag.1	63.7
uc009emd.2	1028.5
uc009bmc.1	24.1
uc009jjn.1	2629.7
uc008soy.1	206.0
uc009jhw.2	71.1
uc007ldx.2	143.0
uc007tvm.2	150.7
uc008ubc.1	26.6
uc008auh.2	73.7
uc008dne.1	31.6
uc008rxw.1	75.6
uc009nyu.2	45.7
uc008irx.2	30.6
uc029rsc.2	8.7
uc008ben.2	28.5
uc009twv.2	49.1
uc008pye.2	72.0
uc008upu.1	10.0
uc012cha.2	75.4
uc009fgw.1	90.3
uc008swt.1	34.1
uc009sqm.1	10.3
uc008gna.1	95.7
uc009rht.1	57.3
uc012bmv.1	60.5
uc008fmt.1	84.7
uc008wzv.1	22.9
uc008gnp.1	235.0
uc008dow.2	14.3
uc007jqs.1	1.0
uc009kql.1	9.9
uc007wbf.1	32.7
uc007tzd.1	25.5
uc009pjo.1	3.9
uc007rcq.1	91.3
uc007tzg.1	36.6
uc009pda.2	84.1
uc029xjl.1	23.4
uc009psl.2	60.6
uc007xyd.2	5.0
uc007rey.2	108.5
uc009sxo.1	191.0
uc008exu.1	55.0
uc007naf.1	200.3
uc008crs.1	98.1
uc012afe.1	170.4
uc009iml.2	13.2
uc008jnz.1	1442.2
uc009gai.2	359.9
uc009gww.1	1982.6
uc008mro.2	25.6
uc009oml.1	116.4
uc008eni.1	42.8
uc008evu.1	82.5
uc007vpv.1	67.3
uc008ztb.1	103.9
uc008ggs.2	1018.7
uc008oib.2	284.3
uc008rje.3	817.3
uc007qod.2	77.8
uc007ujq.1	35.1
uc008isp.1	1.4
uc009quh.2	105.9
uc007xqe.2	60.3
uc008ufj.3	23.0
uc007noq.2	212.8
uc008lmp.1	78.6
uc009uws.1	12.2
uc008zfs.1	250.2
uc007kiq.2	34.5
uc009lhi.1	133.7
uc008btd.1	34.0
uc009lhw.1	49.0
uc008bcl.2	11.0
uc009dtw.1	228.0
uc007kil.3	2676.4
uc007rtm.1	17.1
uc008wux.2	94.4
uc007icv.1	180.6
uc007gwc.1	24.6
uc009gec.1	15.5
uc007rrn.1	39.0
uc008zfl.1	236.3
uc007fgg.1	118.5
uc007qqk.1	22.2
uc007pwh.1	75.5
uc011yai.1	36.3
uc008iio.1	185.9
uc008kho.1	6.7
uc007ehx.2	78.2
uc008dur.2	38.0
uc009kce.1	5.9
uc007kjt.1	69.3
uc008cal.1	2562.9
uc008rqs.2	73.0
uc009rvg.1	1016.9
uc007ynk.2	13.4
uc007hsv.1	24.4
uc007zhq.2	11.9
uc008nwf.2	16.8
uc008urs.1	51.0
uc009tot.3	53.8
uc007jap.3	56.0
uc007fom.1	113.0
uc007amj.2	31.6
uc008ayy.1	73.3
uc009ihv.2	47.8
uc008oqo.2	9.4
