"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"uc007nvf.2",166.505816181632,0.470955447509035,0.216697635939867,2.1733298818254,0.0297554980183873,0.161003210719233
"uc007qnk.2",349.326957093686,0.103514833896723,0.174421615415857,0.5934748032801,0.552863440702316,0.785318516834668
"uc007lyd.1",288.459731051575,-0.298402142946435,0.325444349512058,-0.916906817997708,0.359191470932051,0.628452119316854
"uc009man.2",396.615538008134,-0.000130293207708383,0.203762474030306,-0.000639436718308612,0.999489803349619,0.999869693050626
"uc009grj.1",243.994340330399,0.353325644067879,0.262605957218199,1.34545936356768,0.178476935763979,0.441288205665376
"uc007npl.2",1157.3354800917,-0.0702069671798607,0.170606996549511,-0.411512825381028,0.680696538847025,0.855989988695579
"uc007gwi.1",1104.39152520472,0.169497042791237,0.186696425388722,0.907875137075207,0.36394419493861,0.632695588559063
"uc008fel.2",3645.96066215021,0.000649200893145155,0.119232111424915,0.00544484942342049,0.995655660174829,0.997961628960765
"uc008evr.2",1010.6315890227,0.211506493796723,0.122592519374414,1.72528058707036,0.0844769187103455,0.285604688562144
"uc009ocx.2",198.551118786359,0.281492773680368,0.28381459540817,0.991819230704248,0.321285714916641,0.59147888820495
"uc008ujw.1",438.476871841972,-0.117938407822549,0.18876908377381,-0.624776078077847,0.532118033250315,0.770583033570744
"uc008phu.2",1295.81293526546,-0.200544825158229,0.143941114795571,-1.3932421285124,0.163546584187203,0.419750960098215
"uc008uyg.2",416.902336854277,-0.183554720665526,0.220041566965005,-0.834182028410649,0.404178416716708,0.66674872629168
"uc007biw.2",400.509943774804,0.218936475271724,0.209889077556977,1.04310561473734,0.296899380553214,0.569354586241208
"uc009npc.1",154.567337808574,0.0368648679534297,0.215322744444626,0.171207496209998,0.864060613400666,0.943920354442308
"uc008flu.2",379.442725772879,0.638224701198205,0.188217500671928,3.39088925801146,0.000696662449795113,0.0152801297321728
"uc009csw.2",738.155231732471,0.260538645514244,0.145700844570025,1.78817525926576,0.0737477365502173,0.266809680550064
"uc008syp.1",14088.2726561562,-0.0933733285472346,0.129821379490581,-0.719244618364338,0.471990212389998,0.72670650670823
"uc008khm.1",343.089242206815,0.0837271057392716,0.170415299597183,0.491312141205516,0.623205693946738,0.825322752897266
"uc007pri.1",21369.4633664348,0.0731230130319973,0.128122787333154,0.570726055481899,0.568185353888367,0.796820813565375
"uc009apd.2",13381.8411890769,0.0405670226741222,0.125430987125819,0.323421058892169,0.746376383118452,0.889822946950441
"uc008wji.2",455.949140545767,-0.0310198759268762,0.247518442661914,-0.125323493446694,0.900267453726762,0.960090736713468
"uc009lzx.1",1086.79381394509,0.0866952856104475,0.121438110432072,0.713905093730369,0.475285867397097,0.729205714362669
"uc008dbn.1",1043.3721066908,-0.0868965724768516,0.136107601522409,-0.638440259800953,0.523187130620842,0.763557140919552
"uc009uke.1",3042.02634738129,0.372343659258654,0.124882449070812,2.98155314881377,0.00286790261192055,0.0383302963240787
"uc008igc.1",137.235549652691,0.18196924308411,0.237007397726727,0.767778747960955,0.442618642459552,0.698775162797612
"uc008aco.1",7465.25096559312,0.292890457695929,0.12342100763718,2.37310052237572,0.0176394625333559,0.121219491874133
"uc007eii.2",250.164344328626,-0.0269604602111323,0.278120666229382,-0.096937996649614,0.922775633922339,0.968350131763282
"uc009tom.2",583.812731543876,0.208053535544516,0.151554052815166,1.3728008699197,0.169814260254167,0.430056632473165
"uc009nya.1",442.79898490032,0.0131661981272869,0.165370867268647,0.0796161884178685,0.936542519593485,0.975425704864028
"uc007iyr.2",892.819818935039,0.285279594566301,0.170029286113734,1.67782622092217,0.0933810289360517,0.302497068504232
"uc007zma.1",1233.92849169525,0.0240222778169839,0.156735898491294,0.153265959159435,0.878188544123965,0.949627053465191
"uc007jgd.2",271.862822766582,-0.0476945990587335,0.212237795200914,-0.224722458191688,0.82219519231319,0.923999781692885
"uc007fcd.2",1147.74951375471,0.177028438441406,0.210929137749789,0.839279202152726,0.401312651289381,0.664520225349891
"uc007yso.2",677.896374687083,0.339066822504807,0.180806282451581,1.87530443028498,0.0607508542308412,0.239007845045701
"uc008fam.1",710.451873709995,0.479939888982011,0.150783075513804,3.18298248889394,0.00145766429639695,0.0246724914991433
"uc008asz.1",239.19655946806,0.384488363914612,0.186730137180393,2.05905896991428,0.0394885897342687,0.188456877933989
"uc008lzj.1",311.636827933648,-0.24053656683241,0.203727864721062,-1.18067583519684,0.237731524692508,0.511431968056439
"uc007csu.1",342.18106409679,0.254377119901497,0.258206769324897,0.98516828418785,0.324541416617603,0.595049117755159
"uc009jen.1",477.769536763854,0.290673947840723,0.173204653404492,1.67821096100635,0.0933059227096857,0.302439887403809
"uc008mmi.1",173.035424576472,0.366171719203411,0.209669478750908,1.74642356810755,0.0807373775831868,0.279579235580431
"uc008gos.2",927.44094881102,0.614178458914744,0.12184946798999,5.0404689412776,4.64392493796824e-07,9.05393365683882e-05
"uc012ahi.2",209.208183451827,0.517558432532548,0.208633864864763,2.48070193622704,0.0131123967938579,0.10076446236915
"uc008uom.2",1847.64999422532,0.1178983980206,0.107923178856569,1.09242888571035,0.274644632294381,0.550242029684971
"uc008uow.1",713.461468184718,0.0395923577850309,0.19370237390736,0.204397896558389,0.838042573792613,0.930883331598294
"uc008sxs.1",181.386373752595,-0.114693678049778,0.274219703659813,-0.418254693295354,0.675760911248517,0.853456198851293
"uc009khd.2",258.68824128999,0.294756791649197,0.18700682202652,1.57618202616906,0.114983859536306,0.341770207001193
"uc008gnw.1",1960.66217188267,0.362284004587572,0.11278936290243,3.21204052638343,0.0013179578213179,0.023203110272299
"uc008zxz.2",445.350718744943,-0.0150947877284433,0.151665297687493,-0.099526971288753,0.920719874218053,0.967757432208839
"uc007qat.2",404.236482331088,-0.356092667553723,0.196612647343286,-1.81113815599047,0.0701194684497828,0.259570240449829
"uc008nhe.1",407.322145458312,0.356283622582015,0.160793292775471,2.21578659427992,0.0267061210000473,0.152308798422805
"uc008opg.2",705.75448242632,0.255393027786307,0.223621758262209,1.14207593112135,0.253422459068896,0.52706007576912
"uc009btb.2",1064.34891057458,0.187305309673246,0.13892622217384,1.34823582432745,0.177582545715603,0.440136908462969
"uc029sxs.1",178.960032359218,0.247320639174054,0.22056658508603,1.1212969502048,0.262161483306082,0.536131673076644
"uc008dgr.2",335.643394770217,0.211978694388887,0.209290426841156,1.0128446751641,0.311134357761202,0.583889931998206
"uc007ezt.1",228.282785674576,0.260874335706129,0.195934124332382,1.33143900581392,0.183044602064788,0.448578577871994
"uc009php.1",349.534678373319,0.471230801405654,0.178296155273899,2.64296670156318,0.00821831171607594,0.0754994640024847
"uc008ptj.1",458.512040434727,0.177013087214372,0.162597837922719,1.08865584853904,0.276305678627973,0.551294227858213
"uc008nmr.2",2163.0578645517,-0.125170750144972,0.143907601895872,-0.869799430300716,0.384410022877032,0.650654135184789
"uc008usg.1",734.313346584311,-0.0110077376061786,0.173770622147725,-0.063346367010304,0.949490694341886,0.97829692993065
"uc008pzl.1",2653.31737980208,0.240728875009283,0.167801343040605,1.43460636635685,0.151399299416634,0.402321397772197
"uc007vpk.1",3841.33398014677,0.0167315661319957,0.15966264563157,0.104793241185572,0.91653987327279,0.966533633374557
"uc007vnv.2",534.206453539017,0.125103673896657,0.185577549794014,0.674131510171991,0.500227708078593,0.748280379461697
"uc007wjx.2",253.915165001087,0.0381817333260767,0.218803806911341,0.174502143564385,0.86147084629268,0.943642558737915
"uc007zkb.1",379.495909508129,-0.140859003062416,0.201999894476983,-0.697322161613638,0.485601201943982,0.739402571110636
"uc009idx.2",1339.72833299979,0.438654889330278,0.152337690827732,2.87949020985437,0.00398318664616277,0.0472240867238757
"uc009ale.1",296.107698683581,-0.238750506606301,0.221827109226015,-1.07629093413936,0.28179716191118,0.556824422034703
"uc008fqt.1",256.968398617518,-0.291030191364239,0.195555628721809,-1.48822201266448,0.136692353889169,0.376332924096542
"uc008zpq.1",360.129724638482,-0.0320840254907713,0.169718136681355,-0.189042998692643,0.850059116252217,0.936719947237109
"uc007lls.1",2011.54596508238,-0.0962497498030811,0.123619923870239,-0.778594152056851,0.436218825006335,0.692325458150656
"uc008ulo.2",192.97781556787,-0.180599633673564,0.228222402986707,-0.791331750564747,0.428750425146973,0.688932307073769
"uc007vpq.2",452.254363750743,0.189490544783906,0.156207499359777,1.21306944647691,0.225103270284129,0.498084747698888
"uc007cln.1",2284.41892031118,0.104587332232379,0.10509710438823,0.995149512835592,0.319663552527311,0.590424189650444
"uc008wkt.1",192.296831925239,0.205693474162054,0.225040310447869,0.91402946322234,0.360701364290175,0.630179881056583
"uc007wlb.1",241.268646367099,0.186981733772903,0.239981945856149,0.779149169350368,0.435891848807067,0.692325458150656
"uc007khd.2",1314.85344871296,0.378669838844727,0.124798607579619,3.03424730602977,0.002411366703707,0.0343995510252403
"uc007pyn.1",185.37201734997,0.209149631583055,0.205965553081808,1.01545927682374,0.309886949139064,0.582588310734176
"uc008lpa.1",207.971928507209,-0.38300079142641,0.215437533433466,-1.77778117546399,0.0754398013758087,0.271068337503247
"uc007oap.2",830.097125997577,0.0668832799443499,0.127199247465313,0.525815060050483,0.599016709743381,0.812058707208127
"uc007pue.2",22246.9469272981,0.112152437592123,0.122899068472032,0.912557263342035,0.361475439722781,0.630277149619317
"uc009lcs.2",520.12596901014,0.401072540446365,0.177650818472095,2.25764532860491,0.0239677802446381,0.145352989870708
"uc007qjk.1",414.617325494251,-0.0607416015317013,0.188586155450667,-0.322089399333404,0.74738496883121,0.890493265661784
"uc012doz.2",431.284368832288,-0.0863550602665744,0.211943284067281,-0.407444192660341,0.683681774682973,0.858244126429265
"uc007ywg.2",203.701614608857,0.150903045599654,0.198334673924688,0.760850549294044,0.446746337796597,0.703485084127877
"uc008vsb.1",538.914821582258,-0.0840223099350163,0.223251286827275,-0.37635756160287,0.706651091521068,0.86992781706429
"uc007rey.2",820.213599890879,-0.0816960252819861,0.146466398527121,-0.557779983009949,0.576994633001585,0.802669066627998
"uc007brc.1",403.661169905933,-0.101291697979064,0.187363174519692,-0.540616896776684,0.588771669084476,0.805381289548285
"uc009dbw.1",1296.2737038581,0.203206368902924,0.159808748091944,1.27155973204928,0.203529591751079,0.475697588919161
"uc008dlq.2",1692.70297948996,0.233209325865198,0.11207877920993,2.08076254496299,0.0374556460494036,0.182055882552226
"uc009myj.2",670.367480567074,0.0423192361182296,0.147535609296943,0.286840826563127,0.774234200774648,0.904679650253148
"uc009pxk.1",154.892574867187,0.226194797452667,0.220715639672366,1.02482451079785,0.305445998889296,0.578527014149466
"uc008jdp.2",388.271004181722,0.28353556676457,0.17178338638567,1.65054125855922,0.0988322819598957,0.313405501347525
"uc007hvl.1",564.263387500943,0.0930264672212898,0.163314261202089,0.569616312357295,0.568937962161991,0.796937049712804
"uc009fvc.1",319.564890018906,0.671771987880977,0.217173028859059,3.09325698227906,0.00197972621379794,0.0303827369954296
"uc007ysb.1",415.545595415556,0.244986252688422,0.205133588869648,1.19427663718251,0.232369773359521,0.505661218257345
"uc007rua.2",737.170061678724,-0.0929333222944769,0.170884723499313,-0.543836338271926,0.586554100450206,0.805381289548285
"uc007hny.2",752.265246039753,0.0644349339977807,0.127649260439085,0.504781099209968,0.613712592453688,0.821255704121002
"uc009mfn.1",854.168495311812,0.511661763168069,0.182678564141316,2.80088561880889,0.00509625788582664,0.0557143166289226
"uc008dmh.2",234.49864020258,0.227411362889676,0.246876180554462,0.921155545986376,0.356969223556612,0.626779850834558
"uc007iet.1",2366.00920971708,0.0231292183996107,0.16855594818991,0.13721982907154,0.890857037832366,0.956320445265823
"uc007qds.2",668.016346273888,0.32139705133951,0.128375730000282,2.5035655208255,0.0122948913126829,0.0960241956527639
"uc007tob.2",9317.81593299587,-0.0631979769152186,0.133108434255948,-0.474785668304821,0.634939749135867,0.831216821549666
"uc008aes.1",224.795417910512,0.130030902783427,0.215534028917375,0.603296395639107,0.546311530321593,0.78103853764608
"uc008xqq.1",167.565876784036,-0.268140775767392,0.265820036929683,-1.00873048873409,0.313103905615739,0.584532774432556
"uc008mus.2",813.31148985527,-0.00787387080987638,0.134345108998974,-0.0586092852099029,0.953263314870383,0.980571383649808
"uc007vgg.1",1894.7656464025,0.111354946321628,0.161335416706009,0.690207696457267,0.490063584025765,0.742056593612555
"uc008dgn.3",261.57347957956,0.0974085963397839,0.195001744855009,0.499526793527981,0.617408316043044,0.823419654332553
"uc008cap.1",406.279423169381,0.490211670311686,0.210241587680157,2.33165890593183,0.0197186422821566,0.129586682863012
"uc008ohy.1",578.534748194457,0.0215014313241181,0.155071669192159,0.138654800300591,0.88972293712182,0.956320445265823
"uc007amh.1",330.043150065254,0.142949932359389,0.178619293458579,0.800305104736839,0.423534046211495,0.684310380373638
"uc007fzl.1",2860.99272035461,0.330673383155131,0.0989515939696742,3.34176914074242,0.000832462669496448,0.016854167277805
"uc007gul.2",201.620707273543,0.272276112880124,0.203187718858679,1.34002248959494,0.180238033444381,0.444390167705491
"uc008nik.1",1575.95709671693,-0.0144310757720863,0.160844467251799,-0.0897206849489871,0.928509178021005,0.971511093838714
"uc009jyy.1",515.192143489847,0.0129765355762331,0.145119642177124,0.0894195670658746,0.928748473491406,0.971568355417083
"uc009pmg.1",243.761083430884,0.232282680905638,0.18796008945002,1.23580852501884,0.216529745392402,0.489610214667356
"uc007zyx.1",231.546010840737,0.49231180530632,0.661853744885089,0.743837757376132,0.456974634623056,0.714833881976263
"uc012glt.1",768.012771081007,-0.0225333781277172,0.182403321403242,-0.123536007756691,0.901682662587311,0.960432524455606
"uc009jje.2",29783.9397992991,-0.0518883378209624,0.0858386617142926,-0.604486798660361,0.545520043458754,0.780888188639864
"uc007era.1",246.03673758385,0.546561733461433,0.230161895679158,2.37468383656055,0.0175639874480259,0.120981545773623
