"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"SH3GLB2",0.0526913824300943,0.795686001083572,"noChange","noChange","noChange"
"TAF6",0.426730374389114,-0.331077347269266,"noChange","noChange","noChange"
"PRELID1",0.566848640272934,-0.981192613638496,"noChange","noChange","noChange"
"NOM1",0.105356612145534,-0.935864569549351,"noChange","noChange","noChange"
"MRPS2",-0.0109673742397263,-1.39389464119465,"noChange","noChange","noChange"
"SEC24B",-0.277349471224058,-0.0670419201919442,"noChange","noChange","noChange"
"SPIN4",-0.254525209882819,-0.217718124055306,"noChange","noChange","noChange"
"ANKRD11",0.155171821679089,-0.344558714919953,"noChange","noChange","noChange"
"BAD",0.53868798403321,1.36452985944583,"noChange","up","down"
"PPP3CB",-0.173174629528857,0.814055627570853,"noChange","noChange","noChange"
"QRSL1",-0.10873267001487,-0.662317737521364,"noChange","noChange","noChange"
"KRAS",-0.0454999970660131,0.214435179452326,"noChange","noChange","noChange"
"CREB1",-0.237023455627954,1.11663098117152,"noChange","noChange","noChange"
"SCAMP4",-0.0899097918625835,-1.49644154903389,"noChange","noChange","noChange"
"TUBA1A",0.233197378874653,0.565382481542293,"noChange","noChange","noChange"
"FBN1",-0.106197673883976,-1.08114904416436,"noChange","noChange","noChange"
"TBL1X",-0.0897502281584593,-1.12116409737551,"noChange","noChange","noChange"
"AAK1",-0.0265970020161421,-0.242335364423706,"noChange","noChange","noChange"
"ADNP2",-0.0275419690177022,-0.0876552856958266,"noChange","noChange","noChange"
"ANKRD26",-0.241224581601211,-1.08924706708141,"down","noChange","noChange"
"LMTK2",-0.181399522288385,0.692582046544892,"noChange","noChange","noChange"
"MBD1",0.161353371391518,0.727097999102657,"noChange","noChange","noChange"
"PFN1",0.863085827931661,-0.623480734751539,"noChange","noChange","noChange"
"PGGT1B",0.0263946418966945,-0.602959516803819,"noChange","noChange","noChange"
"ENPP3",0.191336392193908,-0.461139830540016,"noChange","noChange","noChange"
"PIK3R2",0.400486039599774,0.713418591763782,"noChange","noChange","noChange"
"SERPINI1",-0.301804368070469,1.39260636416785,"noChange","noChange","noChange"
"MAGED1",0.18687248034339,-2.63586036089124,"noChange","noChange","noChange"
"BCS1L",0.457892101233992,-1.29080582909083,"noChange","noChange","noChange"
"RGS10",0.0193590310719119,1.02036120404908,"noChange","noChange","noChange"
"MIDN",0.0134756854770847,-0.333935997292759,"noChange","noChange","noChange"
"CEP85",-0.105349916904739,0.531942858564892,"noChange","noChange","noChange"
"CEBPA",0.418832974909215,-0.228899045278176,"noChange","noChange","noChange"
"ZBTB4",0.578767968865058,-0.12287803014529,"noChange","noChange","noChange"
"AKAP8L",0.00228642836320164,2.2872263534448,"noChange","noChange","noChange"
"RAB11FIP1",0.0306984357140287,-0.508623215434162,"noChange","noChange","noChange"
"NOL6",0.135538869173621,-1.36244121856032,"noChange","noChange","noChange"
"GPALPP1",0.119810489116393,-0.76423859816842,"noChange","noChange","noChange"
"VEGFA",-0.386208584983706,0.143355934618862,"noChange","noChange","noChange"
"SLC31A1",-0.117979901329055,-0.521517992986232,"noChange","noChange","noChange"
"BRAF",-0.114408363749277,0.488506621591153,"noChange","noChange","noChange"
"KIFAP3",-0.274097485146461,0.0285856296559506,"noChange","down","noChange"
"CNEP1R1",0.596045322779956,0.00404574610771731,"noChange","noChange","noChange"
"ZSCAN25",-0.0696957205056569,0.391578400266761,"noChange","noChange","noChange"
"ASPH",0.174448905521251,-1.28953881482925,"noChange","noChange","noChange"
"ZNF566",-0.267318022515665,-0.855329594804406,"noChange","down","noChange"
"SPNS1",0.440061056083653,0.0370269192056601,"noChange","noChange","noChange"
"CDK2AP1",0.967282420077639,-1.81818890408779,"up","up","noChange"
"ZDHHC3",0.891214426451441,0.897752853776886,"noChange","noChange","noChange"
"DEDD",0.41396252149624,0.798331791355225,"noChange","noChange","noChange"
"C18orf21",0.441897175906776,-0.275907601357601,"noChange","noChange","noChange"
"CD36",-0.178654427274823,0.649079057309086,"noChange","noChange","noChange"
"SDCBP",-0.0730079251581011,0.77009909741839,"noChange","noChange","noChange"
"RASAL3",-0.12050566126958,-1.5604673416691,"noChange","noChange","noChange"
"SLC30A5",-0.135414071441204,-0.667193098620872,"noChange","noChange","noChange"
"CCDC71",-0.0960376569667881,-0.32349433781934,"noChange","noChange","noChange"
"MRTO4",0.203842300911305,-1.7268940392185,"noChange","noChange","noChange"
"NT5DC2",0.134928565312206,-1.942110615434,"noChange","noChange","noChange"
"CENPH",-0.16362073349144,-0.112184144005701,"noChange","noChange","noChange"
"TIPIN",-0.0119185005802925,-0.783710674444396,"noChange","noChange","noChange"
"ATP5F1B",-0.0534929863232752,-0.0879053857890183,"noChange","noChange","noChange"
"TMEM160",0.347994069334259,-0.501613551738074,"noChange","up","noChange"
"GEMIN8",-0.107904582259728,-0.627164005834258,"noChange","noChange","noChange"
"ATP5F1D",0.214568283937408,-0.205776587499644,"noChange","noChange","noChange"
"KMT2E",-0.13958359660004,0.704228538448968,"noChange","noChange","noChange"
"LARP4B",0.0967399001753766,-0.468839885801865,"noChange","noChange","noChange"
"FAM49B",0.0213831783909386,-1.24792466774806,"noChange","noChange","noChange"
"SFMBT1",-0.186852975112689,0.583217192371743,"noChange","noChange","noChange"
"NUP98",-0.238180904466519,0.368647388029674,"noChange","noChange","noChange"
"COPB1",-0.342729150900449,0.157039400035488,"noChange","noChange","noChange"
"RAB14",-0.387824938616424,-0.643081165420475,"noChange","noChange","noChange"
"PRKD2",-0.0207056595166524,0.270159129619642,"noChange","noChange","noChange"
"MKS1",0.220067035709648,-1.15692759538295,"noChange","noChange","noChange"
"HEBP1",-0.0771223052167965,-0.570442102475649,"noChange","noChange","noChange"
"WDR5",0.0178921396920988,-0.777054717639605,"noChange","noChange","noChange"
"UBE2Q1",0.246839863321722,0.540900857100989,"noChange","noChange","noChange"
"TRIM44",0.446013010933935,-1.24132655248668,"noChange","noChange","noChange"
"ZRANB1",-0.105073681330253,1.46897991368397,"noChange","noChange","noChange"
"GALT",-0.0251747040049561,-0.151800203626265,"noChange","noChange","noChange"
"GALK1",0.218920126511622,-1.31845932563097,"noChange","noChange","noChange"
"POC1A",-0.141283949826763,-0.265588618842996,"noChange","noChange","noChange"
"ZBTB17",-0.372128710551913,0.195131635122735,"noChange","noChange","noChange"
"CWF19L1",-0.0854748894075294,-0.500846261791907,"noChange","noChange","noChange"
"AUNIP",0.330734594920796,0.129129655438486,"noChange","noChange","noChange"
"PRR14",0.338930406314115,-0.482382370947556,"noChange","up","noChange"
"PCM1",-0.438939602612315,0.607325279000003,"noChange","noChange","noChange"
"GALC",-0.0619470812689799,-0.512017081953873,"noChange","noChange","noChange"
"GAA",0.386863392172175,-1.35927736949961,"noChange","noChange","noChange"
"MED15",0.13436754259029,-0.842317072562803,"noChange","noChange","noChange"
"SEPTIN9",0.344199365007296,-2.04764846825261,"noChange","noChange","noChange"
"HSPH1",-0.27211347143946,-0.683414170282194,"noChange","noChange","noChange"
"UTP14A",0.352938302656607,-1.1688637376549,"noChange","noChange","noChange"
"KCTD10",0.00189324899300241,-0.480704981535231,"noChange","noChange","noChange"
